,Property_ID,Prop_Type,Tax_Key,Address,District_Num,Nbhd_Num,Style,Unit_Count,Fbath_Count,Hbath_Count,Lot_Size,Sale_Date,Sale_Price,Ext_Wall,Story_Count,Year_Built,Room_Count,Finished_Sqft,Bdrm_Count,Condo_Project
5678,228121,Residential,5030986000,2961 S MABBETT AV,14,4540,Milwaukee Bungalow,1,2,0,2700,2022-06-10,223000.0,Stucco,1.0,1913.0,14.0,1622.0,7.0,
5679,228146,Residential,5031111000,2129 E BENNETT AV,14,4540,Duplex O/S,2,2,0,3600,2022-04-26,340000.0,Aluminum/Vinyl,2.0,1912.0,9.0,1904.0,4.0,
5680,228174,Residential,5031143000,2998 S MABBETT AV,14,4540,Res O/S A & 1/2,1,1,0,4025,2022-08-26,356000.0,Aluminum/Vinyl,1.0,1924.0,7.0,1540.0,4.0,
5682,228221,Residential,5031192000,2966 S WENTWORTH AV,14,4540,Res O/S A & 1/2,1,1,1,3510,2022-08-12,445000.0,Wood,1.5,1905.0,12.0,1328.0,6.0,
5684,228268,Residential,5031320000,2891 S KINNICKINNIC AV,14,4610,Colonial,1,1,1,6720,2022-07-06,270000.0,Aluminum/Vinyl,2.0,1905.0,7.0,1560.0,4.0,
5685,228282,Residential,5031340000,2872-2874 S LINEBARGER TRCE,14,4610,Duplex O/S,2,2,0,5075,2022-06-27,220000.0,Aluminum/Vinyl,2.0,1913.0,10.0,2436.0,4.0,
5686,228323,Residential,5031430000,2914 S MABBETT AV,14,4540,Res O/S A & 1/2,1,2,0,3600,2022-05-31,330000.0,Aluminum/Vinyl,1.5,1900.0,10.0,1721.0,4.0,
5687,228333,Residential,5031508000,2770 S DELAWARE AV,14,4540,Ranch,1,1,0,2730,2022-10-24,255000.0,Aluminum/Vinyl,1.0,1952.0,5.0,877.0,2.0,
5688,228339,Residential,5031602000,2980 S KINNICKINNIC AV,14,4540,Milwaukee Bungalow,1,2,0,4180,2022-06-03,340000.0,Stucco,1.0,1920.0,6.0,1588.0,3.0,
5689,228344,Residential,5031608000,2016 E RUSK AV,14,4540,Res O/S 2sty +,1,1,0,3382,2022-08-29,292000.0,Aluminum/Vinyl,2.0,1910.0,7.0,1494.0,3.0,
5690,228413,Residential,5039975100,2010 E OKLAHOMA AV,14,4610,Duplex O/S,2,2,0,5796,2022-05-27,288000.0,Wood,1.5,1894.0,10.0,2125.0,4.0,
5691,228448,Residential,5040014000,1324 E MANITOBA ST,14,4500,Res O/S A & 1/2,1,2,1,3420,2022-03-23,275000.0,Aluminum/Vinyl,1.0,1893.0,12.0,1102.0,4.0,
5692,228468,Residential,5040034000,3020 S CLEMENT AV,14,4500,Res O/S A & 1/2,1,2,0,3000,2022-05-25,350000.0,Aluminum/Vinyl,1.0,1924.0,12.0,1122.0,6.0,
5693,228471,Residential,5040037000,3013 S CALIFORNIA ST,14,4500,Res O/S A & 1/2,1,2,0,3000,2022-08-24,323000.0,Aluminum/Vinyl,1.5,1917.0,6.0,1665.0,3.0,
5694,228484,Residential,5040110000,3032 S CLEMENT AV,14,4500,Milwaukee Bungalow,1,1,0,3200,2022-09-09,247000.0,Aluminum/Vinyl,1.5,1920.0,7.0,1334.0,4.0,
